name,ratio,kernel_size,window_range,true_positive,true_negative,false_positive,false_negative,positive,negative,predict_positive,predict_negative,coffecients1
Random,0.35,11,"(1, 15)",89,164,18,31,120,182,107,195,
Logistic,0.35,51,"(1, 15)",83,146,36,37,120,182,119,183,"{'LAP1': -0.05568818775030791, 'MIS3': -0.020374840885520808, 'WAV1': 0.002146805037218666, 'GRA7': 0.05527209665277256, 'STA3': -0.212039209523206, 'DCT3': 0.19700111481213156}"
Decision,0.35,51,"(1, 15)",83,146,36,37,120,182,119,183,
Random,0.35,51,"(1, 15)",83,146,36,37,120,182,119,183,
Logistic,0.35,101,"(1, 15)",88,162,20,32,120,182,108,194,"{'LAP1': -0.04952108759576429, 'MIS3': -0.010166688327892527, 'WAV1': 0.00624436275944933, 'GRA7': 0.0112733488574925, 'STA3': 0.007584911330987203, 'DCT3': -0.012775203939411556}"
Decision,0.35,101,"(1, 15)",88,162,20,32,120,182,108,194,
Random,0.35,101,"(1, 15)",88,162,20,32,120,182,108,194,
Logistic,0.35,201,"(1, 15)",84,163,19,36,120,182,103,199,"{'LAP1': -0.008590114254030357, 'MIS3': -0.0017215604885284224, 'WAV1': 0.004676433069755571, 'GRA7': 0.002075469376516081, 'STA3': 0.0003823364146961612, 'DCT3': 0.004236132530041005}"
Decision,0.35,201,"(1, 15)",84,163,19,36,120,182,103,199,
Random,0.35,201,"(1, 15)",84,163,19,36,120,182,103,199,
Logistic,0.4,3,"(1, 15)",81,166,14,51,132,180,95,217,"{'LAP1': -2.5068887283077474, 'MIS3': -6.361731203948559, 'WAV1': 0.0030395368541127604, 'GRA7': -2.6118329787560706, 'STA3': -0.03094924274963207, 'DCT3': 2.247161822950675}"
Decision,0.4,3,"(1, 15)",81,166,14,51,132,180,95,217,
Random,0.4,3,"(1, 15)",81,166,14,51,132,180,95,217,
Logistic,0.4,5,"(1, 15)",88,164,16,44,132,180,104,208,"{'LAP1': -4.0662997401882714, 'MIS3': -3.4808854231764736, 'WAV1': 0.004302330211535157, 'GRA7': -1.6658694967837508, 'STA3': -0.08996466944885029, 'DCT3': 1.9114726637737551}"
